UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y,FID
53984407,222,4000,חיפה,בית הספר יוחנן הקדוש,Yoh'anan HaKadosh,13,5300,199826.576627,747000.191794,0,,199826.576627,747000.191794,5234
53984486,222,0,,גן ילדים - גן תפוח,,13,5305,229573.318127,632597.165694,2014,2015-07,229573.318127,632597.165694,5235
53995031,222,4000,חיפה,"מכללת - ויצ""ו לאומנויות",,13,5370,199381.119527,747380.269694,0,,199381.119527,747380.269694,5236
53995034,222,2200,דימונה,גן ילדים - גן ורד,Gan Vered Kindergarten,13,5305,204022.809127,553510.582794,0,,204022.809127,553510.582794,5237
53995037,222,831,ירוחם,גן ילדים - גן כלנית,Gan Kallanit Kindergarten,13,5305,192357.511727,544452.806794,0,,192357.511727,544452.806794,5238
53995046,222,7200,נס ציונה,גן ילדים - הגן של נווה,,13,5305,181702.319927,649097.253494,0,,181702.319927,649097.253494,5239
53995057,222,3000,ירושלים,מכון - ללימודי יהדות,,13,5420,223354.867727,633429.907994,0,,223354.867727,633429.907994,5240
53992342,222,0,,גן ילדים - ערבה,Arava Kindergarten,13,5305,218952.811927,667702.468494,0,,218952.811927,667702.468494,5241
53992343,222,1015,מבשרת ציון,ישיבה,Yeshiva,13,5340,213639.305327,633428.114594,0,,213639.305327,633428.114594,5242
53992350,222,2660,יבנה,גן ילדים - צליל,,13,5305,175596.622427,641864.957294,0,,175596.622427,641864.957294,5243
53992361,222,9600,קריית ים,בית ספר - א רודמן,,13,5320,206458.737927,750081.313194,0,,206458.737927,750081.313194,5244
53987332,222,70,אשדוד,"גן ילדים - מ""מ חצב",,13,5305,166780.724727,634086.520294,0,,166780.724727,634086.520294,5245
54019213,222,4000,חיפה,בית ספר - זכרון יוסף,,13,5310,199127.655127,743714.837494,0,,199127.655127,743714.837494,5246
53987412,222,1200,מודיעין-מכבים-רעות,גן ילדים - גן שרקרק,Gan Shrakrak Kindergarten,13,5305,199453.274427,646160.416794,0,,199453.274427,646160.416794,5247
53987562,222,2200,דימונה,גן ילדים - ציפורי,,13,5305,203372.785527,553851.499594,0,,203372.785527,553851.499594,5248
53986929,222,70,אשדוד,גן ילדים - נווה הדעה,,13,5305,167912.461027,634646.016794,0,,167912.461027,634646.016794,5249
53986936,222,70,אשדוד,"גן ילדים - מ""מ מפרשית 2",,13,5305,166057.747527,634559.764294,0,,166057.747527,634559.764294,5250
53986938,222,6300,גבעתיים,גן ילדים - טרופי,,13,5305,182456.951227,663158.165294,0,,182456.951227,663158.165294,5251
53986152,222,2610,בית שמש,גן ילדים - דרכי רחל,,13,5305,198805.117627,624597.048994,2014,2015-07,198805.117627,624597.048994,5252
54018942,222,2550,גדרה,גן ילדים - ילדודס,,13,5305,179357.116827,635332.583894,2014,2015-07,179357.116827,635332.583894,5253
53984339,222,975,זרזיר,בית ספר - לנהיגה יאפא,,13,5300,221205.178527,736757.106294,0,,221205.178527,736757.106294,5254
54016156,222,99,מצפה רמון,גן ילדים - גן מורשה,,13,5305,180641.542627,501746.313494,0,,180641.542627,501746.313494,5255
53975998,222,2059,"פעמי תש""ז",גן ילדים,Kindergarten,13,5305,170877.353627,594175.413994,0,,170877.353627,594175.413994,5256
53974090,222,2560,ערד,גן ילדים - מעוף,,13,5305,220243.047027,575431.284394,0,,220243.047027,575431.284394,5257
53984341,222,1200,מודיעין-מכבים-רעות,גן ילדים - גן גרופית,,13,5305,200237.484027,646862.818594,0,,200237.484027,646862.818594,5258
